port,header,data_size,bit_start,bit_end,type,parameter_name,parameter_description,group_name,group_description,category_name,category_description,access,round,multiplier,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
100,0x1A,2,0,15,unsigned,net_id_lsb,Net ID LSB,,,loramac,LoRaMAC Configuration,RW,,1,,,,,,,,,,,,,,,,,,
100,0x20,4,0,31,unsigned,core,Core reporting tick in seconds,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x21,2,0,15,unsigned,per_battery,Ticks between Battery reports,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x22,2,0,15,unsigned,per_temperature,Ticks per Temperature report,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x23,2,0,15,unsigned,per_relative_humidity,Ticks per Humidity report,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x24,2,0,15,unsigned,per_digital_input,Ticks per Digital Input report,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x25,2,0,15,unsigned,per_light,Ticks per Light report,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x26,2,0,15,unsigned,per_acceleration,Ticks per Accelerometer report,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x27,2,0,15,unsigned,per_mcu_temperature,Ticks per MCU Temperature report,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x28,2,0,15,unsigned,per_pir,Ticks per PIR report,,,ticks,Ticks for Periodic Transmits,RW,,1,,,,,,,,,,,,,,,,,,
100,0x2A,1,0,0,unsigned,rising_edge,Rising edge,mode,Mode,reed_switch,Reed Switch,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x2A,1,1,1,unsigned,falling_edge,Falling edge,mode,Mode,reed_switch,Reed Switch,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x2B,2,0,15,unsigned,count_threshold,Count Threshold,,,reed_switch,Reed Switch,RW,,1,,,,,,,,,,,,,,,,,,
100,0x2C,1,0,0,unsigned,report_state,State,values_to_transmit,Values to transmit,reed_switch,Reed Switch,RW,,1,Ignore,0,Report,1,,,,,,,,,,,,,,
100,0x2C,1,1,1,unsigned,report_count,Counter value,values_to_transmit,Values to transmit,reed_switch,Reed Switch,RW,,1,Ignore,0,Report,1,,,,,,,,,,,,,,
100,0x2D,1,0,0,unsigned,rising_edge,Rising edge,mode,External Connector Mode,external_connector,External Connector,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x2D,1,1,1,unsigned,falling_edge,Falling edge,mode,External Connector Mode,external_connector,External Connector,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x2D,1,7,7,unsigned,analog,Functionality,mode,External Connector Mode,external_connector,External Connector,RW,,1,Digital,0,Analog,1,,,,,,,,,,,,,,
100,0x2E,2,0,15,unsigned,count_threshold,Number of triggers for event transmission,,,external_connector,External Connector,RW,,1,,,,,,,,,,,,,,,,,,
100,0x2F,1,0,0,unsigned,state,State,values_to_transmit,Value to transmit,external_connector,External Connector,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x2F,1,1,1,unsigned,count,Counter value,values_to_transmit,Value to transmit,external_connector,External Connector,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x30,2,0,15,unsigned,threshold_break_in,Break-In Threshold (10 milli-g),,,accelerometer,Accelerometer,RW,3,1,,,,,,,,,,,,,,,,,,
100,0x31,2,0,15,unsigned,threshold_impact,Impact threshold (10 milli-g),,,accelerometer,Accelerometer,RW,3,1,,,,,,,,,,,,,,,,,,
100,0x32,1,0,0,unsigned,alarm,Alarm,values_to_transmit,Value to transmit,accelerometer,Accelerometer,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x32,1,1,1,unsigned,magnitude,Magnitude,values_to_transmit,Value to transmit,accelerometer,Accelerometer,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x32,1,2,2,unsigned,full_precision,Full-precision,values_to_transmit,Value to transmit,accelerometer,Accelerometer,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x33,2,0,15,unsigned,impact_grace_period,Seconds to wait before reporting impacts again,,,accelerometer,Accelerometer,RW,,1,,,,,,,,,,,,,,,,,,
100,0x34,1,0,0,unsigned,break_in_threshold_enable,Break-In threshold,mode,Mode,accelerometer,Accelerometer,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x34,1,1,1,unsigned,impact_threshold_enable,Impact threshold,mode,Mode,accelerometer,Accelerometer,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x34,1,7,7,unsigned,power,Power,mode,Mode,accelerometer,Accelerometer,RW,,1,Off,0,On,1,,,,,,,,,,,,,,
100,0x35,1,0,2,unsigned,sample_rate,Transducer sample rate,,,accelerometer,Accelerometer,RW,,1,1 Hz,1,10 Hz,2,25 Hz,3,50 Hz,4,100 Hz,5,200 Hz,6,400 Hz,7,,,,
100,0x39,4,0,31,unsigned,sample_period_idle,Sample rate of Temperature/RH in seconds in Idle State,,,temperature_humidity,Temperature/Humidity thresholds,RW,,1,,,,,,,,,,,,,,,,,,
100,0x3A,4,0,31,unsigned,sample_period_active,Sample rate of Temperature/RH in seconds in Active State,,,temperature_humidity,Temperature/Humidity thresholds,RW,,1,,,,,,,,,,,,,,,,,,
100,0x3B,2,0,7,signed,low,Low temperature threshold,temperature_threshold,Temperature thresholds,temperature_humidity,Temperature/Humidity thresholds,RW,1,1,,,,,,,,,,,,,,,,,,
100,0x3B,2,8,15,signed,high,High temperature threshold,temperature_threshold,Temperature thresholds,temperature_humidity,Temperature/Humidity thresholds,RW,1,1,,,,,,,,,,,,,,,,,,
100,0x3C,1,0,0,unsigned,temperature_threshold_enable,Temperature threshold enable,,,temperature_humidity,Temperature/Humidity thresholds,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x3D,2,0,7,unsigned,low,Low humidity threshold,rh_threshold,Huimidity thresholds,temperature_humidity,Temperature/Humidity thresholds,RW,1,1,,,,,,,,,,,,,,,,,,
100,0x3D,2,8,15,unsigned,high,High humidity threshold,rh_threshold,Huimidity thresholds,temperature_humidity,Temperature/Humidity thresholds,RW,1,1,,,,,,,,,,,,,,,,,,
100,0x3E,1,0,0,unsigned,rh_threshold_enable,Humidity threshold enable,rh_enable,,temperature_humidity,Temperature/Humidity thresholds,RW,,1,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x40,4,0,31,unsigned,sample_period_idle,Sample rate of MCU Temperature in seconds in Idle State,,,mcu_temperature,MCU Temperature,RW,,1,,,,,,,,,,,,,,,,,,
100,0x41,4,0,31,unsigned,sample_period_active,Sample rate of MCU Temperature in seconds in Active State,,,mcu_temperature,MCU Temperature,RW,,1,,,,,,,,,,,,,,,,,,
100,0x42,2,0,7,signed,high,High MCU temperature threshold,threshold,MCU temperature thresholds,mcu_temperature,MCU Temperature,RW,1,1,,,,,,,,,,,,,,,,,,
100,0x42,2,8,15,signed,low,Low MCU temperature threshold,threshold,MCU temperature thresholds,mcu_temperature,MCU Temperature,RW,1,1,,,,,,,,,,,,,,,,,,
100,0x43,1,0,0,unsigned,threshold_enable,MCU temperature threshold,,,mcu_temperature,MCU Temperature,RW,,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,0x47,4,0,31,unsigned,sample_period,Light Sample period in seconds,,,light,Light sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x48,1,0,7,unsigned,threshold_high,Light Threshold High,,,light,Light sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x50,2,0,15,unsigned,grace_period,PIR Grace period,,,pir,PIR sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x51,2,0,15,unsigned,count_threshold,PIR events before motion is detected,,,pir,PIR sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x52,2,0,15,unsigned,count_grace_period,Period to count PIR events over,,,pir,PIR sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x53,1,0,0,unsigned,motion_state,Motion state,mode,Mode,pir,PIR sensor,RW,,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,0x53,1,1,1,unsigned,motion_count,Motion event count,mode,Mode,pir,PIR sensor,RW,,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,0x53,1,6,6,unsigned,report_enable,PIR events transmission,mode,Mode,pir,PIR sensor,RW,,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,0x53,1,7,7,unsigned,sensor_enable,PIR sensing,mode,Mode,pir,PIR sensor,RW,,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,0x5A,1,0,7,unsigned,sample_period,Moisture sample period,,,moisture,Moisture sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x5B,1,0,7,unsigned,high_threshold,Moisture detection threshold,,,moisture,Moisture sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x5C,1,0,0,unsigned,sensor_enable,Moisture sensing,,,moisture,Moisture sensor,RW,,1,Disabled,0,Enabled,1,,,,,,,,,,,,,,
100,0x5D,1,0,7,unsigned,dry_calibration,"""Dry"" calibration",,,moisture,Moisture sensor,RW,,1,,,,,,,,,,,,,,,,,,
100,0x70,2,5,5,unsigned,app_configuration,Write App Configuration,write_to_flash,Configure sensor,command_control_register,Sensor Command & Control Register,W,,1,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,0x70,2,6,6,unsigned,lora_configuration,Write LoRa Configuration,write_to_flash,Configure sensor,command_control_register,Sensor Command & Control Register,W,,1,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,0x70,2,8,8,unsigned,restart_sensor,Restart Sensor,write_to_flash,Configure sensor,command_control_register,Sensor Command & Control Register,W,,1,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,0x71,7,0,7,unsigned,app_major_version,App Major,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,
100,0x71,7,8,15,unsigned,app_minor_version,App Minor,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,
100,0x71,7,16,23,unsigned,app_revision,App Revision,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,
100,0x71,7,24,31,unsigned,loramac_major_version,LoRaMAC Major,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,
100,0x71,7,32,39,unsigned,loramac_minor_version,LoRaMAC Minor,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,
100,0x71,7,40,47,unsigned,loramac_revision,LoRaMAC Revision,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,
100,0x71,7,48,55,unsigned,region,Region,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,EU868,0,US916,1,AS923,2,AU915,3,IN865,4,CN470,5,KR920,6,RU864,7,DN915,8
100,0x72,1,0,7,unsigned,configuration_factory_reset,Factory reset,,,command_control_register,Sensor Command & Control Register,W,,1,App Config,10,LoRa Config,176,App & LoRa Config,186,,,,,,,,,,,,
10,0x00 0xFF,2,0,15,signed,battery_voltage,Battery voltage,,,,,,2,0.01,,,,,,,,,,,,,,,,,,
10,0x01 0x00,1,0,7,unsigned,digital_input,Digital input,,,,,,,1,Off,0,On,255,,,,,,,,,,,,,,
10,0x02 0x00,1,0,7,unsigned,light_detected,Light detected,,,,,,,1,Dark,0,Bright,255,,,,,,,,,,,,,,
10,0x03 0x67,2,0,15,signed,temperature,Temperature,,,,,,1,0.1,,,,,,,,,,,,,,,,,,
10,0x04 0x68,1,0,7,unsigned,relative_humidity,Relative humidity,,,,,,1,0.5,,,,,,,,,,,,,,,,,,
10,0x05 0x02,2,0,15,signed,impact_magnitude,Impact magnitude,,,,,,3,0.001,,,,,,,,,,,,,,,,,,
10,0x06 0x00,1,0,7,unsigned,break_in,Break-in,,,,,,,1,Off,0,On,255,,,,,,,,,,,,,,
10,0x07 0x71,6,0,15,signed,acceleration_x,X acceleration,,,,,,3,0.001,,,,,,,,,,,,,,,,,,
10,0x07 0x71,6,16,31,signed,acceleration_y,Y acceleration,,,,,,3,0.001,,,,,,,,,,,,,,,,,,
10,0x07 0x71,6,32,47,signed,acceleration_z,Z acceleration,,,,,,3,0.001,,,,,,,,,,,,,,,,,,
10,0x08 0x04,2,0,15,unsigned,input_count,Input count,,,,,,,1,,,,,,,,,,,,,,,,,,
10,0x09 0x00,1,0,7,unsigned,moisture,Moisture,,,,,,,1,Dry,0,Wet,255,,,,,,,,,,,,,,
10,0x0A 0x00,1,0,7,unsigned,motion,Motion,,,,,,,1,None,0,Detected,255,,,,,,,,,,,,,,
10,0x0B 0x67,2,0,15,signed,mcu_temperature,MCU temperature,,,,,,1,0.1,,,,,,,,,,,,,,,,,,
10,0x0C 0x00,1,0,7,unsigned,impact_alarm,Impact alarm,,,,,,,1,Off,0,On,255,,,,,,,,,,,,,,
10,0x0D 0x04,2,0,15,unsigned,motion_event_count,Motion event count,,,,,,,1,,,,,,,,,,,,,,,,,,
